Dizi Adi,Baslangic Yili,Ortalama Suresi,Yayinci Kuruluslar,Yapim sirketi,Yapimci,Senarist,Yonetmen,Oyuncu1puan,Oyuncu2puan,Oyuncu3puan,Turler,Bitis Yili,Sezon Sayisi,Yayinlanan bolum sayisi,ihrac durumu
Aliye,2004,90,ATV,TMC,Erol Avci,Sebnem Citak,Kudret Sabanci,70,85,50,Dram,2006,3,76,1
Yabanci Damat,2004,90,Kanal D,Erler Film,Turker Inanoglu,Ayse Teker,Taylan Biraderler,75,80,80,Dram,2007,3,106,0
Ihlamurlar Altinda,2005,85,Kanal D,Avsar Film,Sukru Avsar,Nilgun Ones,Aydin Bulut,85,80,75,Dram,2007,2,80,1
Emret Komutanim,2005,90,Show Tv,Altioklar Film,Mustafa Altioklar,Mufit Can Sacinti,Haluk Gol,60,80,75,Komedi,2007,2,80,0
Ask Oyunu,2005,90,ATV,Med Yapim,Meltem Kayali,Meric Demiray,Bulent Isbilen,85,70,60,Dram,2006,1,47,0
Hirsiz Polis,2005,80,Kanal D,TMC,Erol Avci,Serif Erol,Turkan Derya,75,85,70,Polisiye,2007,2,50,1
Aci Hayat,2005,80,Show Tv,Sinegraf,Osman Sinav,Tangul Sinav,Abdulkadir Ceylan Ede,90,80,60,Dram,2007,2,59,1
Davetsiz Misafir,2005,80,Show Tv,Surec Film,Ali Gundogdu,Bengisu Gencay,Ummu Burhan,60,45,65,Komedi,2005,1,25,0
Kirik Kanatlar,2005,90,Kanal D,Avsar Film,Sukru Avsar,Ayhan Sonyurek,Cevdet Mercan,80,65,65,Dram,2007,2,36,0
Gumus,2005,90,Kanal D,D Productions,Irfan Sahin,Sema Ergenekon,Tarik Alpagut,90,85,75,Dram,2007,3,100,1
Aska Surgun,2005,90,ATV,Sis Yapim,Tomris Giritlioglu,Pinar Ordu Arslan,Cemal San,70,90,65,Dram,2006,2,53,1
Hatirla Sevgili,2006,90,ATV,Sis Yapim,Tomris Giritlioglu,Nilgun Ones,Ummu Burhan,80,90,65,Dram,2008,2,68,0
Yalanci Yarim,2006,90,Star Tv,Arzu Film,Nahit Ataman,Betul Karabulur,Ozer Kiziltan,50,45,45,Romantik,2007,1,49,0
Kopru,2006,90,Star Tv,Koliba Film,Ata Turkoglu,Ozan Yurdakul,Cagatay Tosun,75,70,65,Dram,2008,2,65,0
Sila,2006,90,ATV,Most Production,Nezihe Dikilitas,Muharrem Buhara,Yasin Uslu,85,80,80,Dram,2008,3,79,0
Acemi Cadi,2006,60,Kanal D,D Productions,Ayse Durmaz,Haluk Ozenc,Feride Kaytan,55,50,50,Komedi,2007,1,58,0
Firtina,2006,90,Kanal D,BKM,Necati Akpinar,Gokhan Horzum,Metin Balekoglu,65,90,45,Dram,2007,1,48,1
Binbir Gece,2006,90,Kanal D,TMC,Erol Avci,Yildiz Tunc,Kudret Sabanci,85,80,65,Dram,2009,3,90,1
Doktorlar,2006,120,Show Tv,Med Yapim,Fatih Aksoy,Ayca Mutlugil,Oguzhan Tercan,85,80,90,Dram,2011,4,97,0
Selena,2006,90,ATV,Surec Film,Ali Gundogdu,Gani Mujde,Bora Onur,85,75,70,Fantastik,2009,3,104,0
